股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,买入信号,技术形态,上市天数
603596.SH,伯特利,24.2,23.58,24.37,23.45,3983231.0,-2.56,24.03,23.42,23.08,23.37,21.94,0.14,24.51,23.08,21.65,74.01,72.0,78.05,963478800.0,交运设备-汽车零部件-汽车零部件Ⅲ,新股与次新股;创投;沪股通,月线bias买入信号||月线cr金叉||月线rsi金叉,放量||价跌量缩||阴线,356
300578.SZ,会畅通讯,24.19,23.46,24.19,23.4,3641940.0,-3.1,24.00,24.55,24.62,23.97,20.37,-0.81,27.07,24.62,22.17,28.03,30.9,22.29,1419329500.0,信息服务-通信服务-通信运营Ⅲ,5G;大数据;电子政务,wr超卖||月线macd金叉||psy超卖,缩量||价跌量缩||回调缩量,813
300540.SZ,深冷股份,24.18,23.4,25.17,23.29,4168180.0,-3.23,22.75,21.50,18.70,16.99,14.57,0.86,25.28,18.70,12.12,82.0,83.32,79.38,1498404000.0,机械设备-专用设备-其它专用机械,LNG加气站;油气运输仓储;天然气;氢能源,月线boll突破上轨||月线cr金叉||月线cci买入信号,缩量||价跌量缩||月线长下影线,968
603329.SH,上海雅仕,24.15,25.69,26.61,23.5,14135594.0,1.94,25.43,23.79,20.78,19.96,17.83,1.07,27.62,20.78,13.95,68.76,73.11,60.06,1661629200.0,交通运输-物流-物流Ⅲ,自由贸易港;上海自贸区;快递,月线cr金叉||月线rsi金叉||月线kdj超卖,价升量涨||放量||强中选强,475
002915.SZ,中欣氟材,24.14,24.0,24.34,23.67,1795900.0,-1.4,23.93,24.51,24.05,23.93,23.11,-0.16,25.94,24.05,22.17,27.25,32.75,16.26,813180000.0,化工-化学制品-氟化工及制冷剂,--,月线kdj超卖||月线dmi金叉,缩量||价跌量缩||回调缩量,499
603716.SH,塞力斯,24.13,23.38,24.62,23.35,7841070.0,-5.0,24.00,25.10,24.05,22.32,19.73,-0.63,27.40,24.05,20.71,18.95,33.64,-10.42,2246970200.0,医药生物-医药商业-医药商业Ⅲ,健康中国;股权转让;兜底增持;体外诊断;工业大麻,wr超卖||月线macd金叉||月线cci买入信号,缩量||价跌量缩||回调缩量,899
601066.SH,中信建投,24.06,23.78,24.3,23.7,28085741.0,-1.82,24.25,24.70,24.95,25.74,20.41,-0.91,26.92,24.95,22.97,14.15,22.95,-3.45,9512000000.0,金融服务-证券-证券Ⅲ,新股与次新股;沪股通;养老金持股,wr超卖||skdj超卖,缩量||价跌量缩||回调缩量,302
002242.SZ,九阳股份,24.03,23.87,24.35,23.85,4225476.0,0.08,24.04,24.42,23.77,22.90,19.98,-0.52,26.15,23.77,21.39,34.23,47.08,8.54,18187950000.0,家用电器-白色家电-小家电,分离膜;净水器;家用电器;智能家居;融资融券;深股通;电子商务;转融券标的;证金持股;机构重仓;养老金持股,月线dma金叉,价升量缩||缩量||阴线,3977
603650.SH,彤程新材,24.02,23.65,24.19,23.65,3754003.0,-2.19,23.69,24.44,24.84,24.33,22.64,-0.69,27.59,24.84,22.08,19.49,22.8,12.87,1390620000.0,化工-化工合成材料-其他橡胶制品,新股与次新股;新材料概念;石墨烯;沪股通,wr超卖||skdj超卖||月线skdj超卖,缩量||价跌量缩||回调缩量,295
300627.SZ,华测导航,24.0,23.3,24.25,23.3,4041500.0,-3.72,23.32,23.60,22.24,21.77,19.86,-0.02,26.02,22.24,18.46,38.66,41.84,32.29,2402173300.0,信息设备-计算机设备-计算机设备Ⅲ,卫星导航;军民融合;无人机;长三角一体化,skdj金叉||月线boll突破中轨||月线dmi金叉,缩量||价跌量缩||旗形,758
300711.SZ,广哈通信,23.99,23.8,25.11,23.6,14670645.0,-6.81,23.55,22.63,21.32,20.91,19.86,0.76,25.01,21.32,17.62,68.65,73.23,59.47,1075926600.0,信息设备-通信设备-终端设备,专网通信;军民融合;5G,月线macd金叉||周线roc买入信号||周线boll突破上轨,放量||价跌量缩||旗形,533
603757.SH,大元泵业,23.98,23.71,23.99,23.69,995160.0,-1.0,23.76,24.09,24.78,24.62,22.71,-0.51,26.73,24.78,22.83,22.33,21.4,24.21,829850000.0,机械设备-通用设备-其它通用机械,沪股通;白马股,mtm金叉||kdj金叉||lwr买入信号,缩量||价跌量缩||回调缩量,646
603218.SH,日月股份,23.93,23.26,23.93,23.04,2393439.0,-3.08,23.30,24.23,25.26,24.59,22.16,-0.99,28.10,25.26,22.41,28.33,26.73,31.54,2312719700.0,机械设备-电气设备-电源设备,一带一路;机械装备,行情收盘价上穿5日||skdj金叉||kdj金叉,缩量||价跌量缩||月线长下影线,841
002829.SZ,星网宇达,23.9,23.24,23.9,23.01,1107600.0,-2.23,23.44,23.70,23.23,22.47,20.20,-0.35,24.87,23.23,21.59,33.04,37.79,23.55,1423002900.0,国防军工-国防军工-航天装备,航空航天;无人驾驶;百度概念;无人机;军工;海工装备,月线macd金叉||月线dmi金叉,缩量||价跌量缩||回调缩量,856
603138.SH,海量数据,23.9,23.41,23.9,23.39,2135015.0,-2.17,23.69,24.12,24.26,23.88,21.98,-0.54,26.32,24.26,22.21,21.91,27.78,10.17,1108613320.0,信息服务-计算机应用-软件开发及服务,大数据;云计算;数据存储,wr超卖||月线dmi金叉,缩量||价跌量缩||回调缩量,773
300656.SZ,民德电子,23.89,23.6,23.95,23.2,722826.0,-0.88,23.69,24.24,24.54,24.80,23.19,-0.47,26.21,24.54,22.87,26.67,29.87,20.29,1069091590.0,电子-其他电子-其他电子Ⅲ,智能终端;无人零售;二维码识别;芯片概念;图像识别;芯片设计;大疆创新概念;无人机;无人驾驶,月线mtm金叉,缩量||价跌量缩||月线长下影线,699
300713.SZ,英可瑞,23.87,23.71,24.11,23.6,1447770.0,-0.04,23.37,23.60,23.63,23.94,22.34,-0.21,24.78,23.63,22.49,49.35,45.03,57.98,1015163400.0,机械设备-电气设备-电源设备,国资驰援;新能源汽车;充电桩,kdj金叉||dmi金叉||月线bias买入信号,缩量||月线长下影线||回调缩量,533
603330.SH,上海天洋,23.85,23.3,23.85,23.22,1004270.0,-2.35,23.76,24.12,23.86,23.78,22.18,-0.32,25.14,23.86,22.58,29.23,38.22,11.25,734497670.0,化工-化工新材料-聚氨酯,参股新三板;环保包装;太阳能,wr超卖||月线dmi金叉,缩量||价跌量缩||回调缩量,794
603507.SH,振江股份,23.84,23.0,23.84,22.94,2131658.0,-3.52,23.68,24.58,26.00,26.06,25.65,-0.83,29.36,26.00,22.65,11.54,16.05,2.54,1848672400.0,机械设备-电气设备-电源设备,新能源;光伏概念;风电,wr超卖||bias买入信号||skdj超卖,放量||阴线||价跌量升,528
600456.SH,宝钛股份,23.82,24.1,24.2,23.6,6242281.0,0.46,23.71,24.07,24.50,23.74,21.24,-0.54,26.32,24.50,22.67,44.21,41.22,50.18,10369403400.0,有色金属-有色冶炼加工-小金属,3D打印;航天军工;稀缺资源;军工;纳米纸;核电;轻型合金;融资融券;转融券标的;钛;稀有金属;国产航母;大飞机;小金属概念;年报预增;证金持股,kdj金叉||月线dmi金叉||月线dma金叉,价升量涨||缩量||阳线,6215
600260.SH,凯乐科技,23.75,23.53,23.76,23.17,16949028.0,-1.38,23.42,23.70,23.33,23.55,21.36,-0.22,24.97,23.33,21.70,46.08,47.16,43.91,14782909000.0,信息设备-通信设备-终端设备,智能交通;新材料概念;全息手机;老字号;安防;参股民营银行;互联网金融;电子商务;智能医疗;融资融券;沪股通;光纤光缆;转融券标的;智能穿戴;白马股;军民融合;专网通信;互联网+;航运概念;5G;互联网医疗;量子通信;军工;创投;MSCI预期;科创板预期,周线行情收盘价上穿5日,缩量||价跌量缩||回调缩量,6860
300458.SZ,全志科技,23.72,23.69,24.0,23.55,4195396.0,-0.25,23.58,23.81,24.13,24.43,22.47,-0.32,25.56,24.13,22.70,31.84,30.4,34.74,5049195600.0,电子-半导体及元件-集成电路,核高基;物联网;智能音箱;汽车电子;深股通;芯片设计;VR设备;芯片概念;虚拟现实;车联网;物联网感知层;集成电路概念;小米概念;年报预增;超清视频;边缘计算;横琴新区,kdj金叉||周线cr金叉||周线mtm金叉,缩量||价跌量缩||月线长下影线,1434
300648.SZ,星云股份,23.71,25.07,25.67,23.1,12886949.0,7.41,23.23,22.45,21.82,21.78,19.70,0.41,24.09,21.82,19.55,72.11,66.97,82.4,1505236300.0,机械设备-仪器仪表-仪器仪表,锂电设备;锂电池;宁德时代概念;燃料电池;华为概念;华为汽车,周线boll突破上轨||周线mtm金叉||月线boll突破中轨,价升量涨||放量||阳线,723
300768.SZ,迪普科技,23.68,23.68,23.68,23.68,28086.0,9.99,19.75,--,--,--,--,1.48,--,--,--,0.0,0.0,0.0,947436800.0,信息服务-计算机应用-软件开发及服务,新股与次新股;态势感知,skdj超卖||kdj超卖||周线kdj超卖,价升量涨||尖三兵||阶段放量,6
600535.SH,天士力,23.6,23.35,23.63,23.22,6094960.0,0.22,23.18,23.47,23.20,23.20,21.37,-0.26,24.75,23.20,21.66,35.21,37.65,30.34,35320756000.0,医药生物-中药-中药Ⅲ,单抗;央视财经50;炭疽;环渤海;老龄化;普洱茶;MSCI概念;小额贷款;生物疫苗;滨海新区;独家医药品种;融资融券;沪股通;独角兽概念;转融券标的;胰岛素;生物医药;医保目录;乙肝治疗;抗肿瘤;干细胞;中医药;医疗改革;证金持股;创新药,skdj金叉||周线行情收盘价上穿5日||月线dmi金叉,价升量缩||缩量||阴线,6082
603991.SH,至正股份,23.57,23.8,23.8,23.2,854351.0,1.49,22.85,23.05,23.10,22.46,20.74,-0.22,24.24,23.10,21.96,58.39,44.06,87.05,977678250.0,化工-化工合成材料-其他塑料制品,新材料概念;电缆;核电,周线行情收盘价上穿5日||周线mtm金叉||月线boll突破中轨,价升量缩||缩量||阳线,771
603938.SH,三孚股份,23.55,23.41,24.19,23.06,4124121.0,-0.6,22.83,23.50,23.52,22.56,20.75,-0.49,25.42,23.52,21.62,27.51,27.94,26.66,1188914310.0,化工-化学制品-其他化学制品,光纤;氢能源,月线cr金叉||周线行情收盘价上穿5日,缩量||价跌量缩||月线长下影线,659
300690.SZ,双一科技,23.48,23.68,24.29,23.32,4713924.0,2.33,23.14,23.77,25.04,24.63,21.15,-0.93,28.03,25.04,22.05,27.7,23.01,37.08,1238097930.0,化工-化学制品-其他化学制品,碳纤维;风电,月线macd金叉||周线rsi金叉||月线dmi金叉,价升量涨||放量||阳线,618
600230.SH,沧州大化,23.48,23.32,23.5,23.0,10744867.0,-1.48,23.38,24.16,22.67,21.91,19.98,-0.22,26.49,22.67,18.85,30.54,45.08,1.45,9604656900.0,化工-化工新材料-聚氨酯,雄安新区;融资融券;沪股通;转融券标的;硝酸;尿素;TDI;三聚氰胺;股权转让;央企国资改革;煤化工,wr超卖||月线rsi金叉,缩量||价跌量缩||旗形,6951
002572.SZ,索菲亚,23.47,23.0,23.56,22.77,10447872.0,-2.0,23.09,23.96,23.88,22.82,20.19,-0.81,27.05,23.88,20.71,23.34,28.91,12.2,14675798000.0,轻工制造-家用轻工-家具,奢侈品;虚拟现实;电子商务;深股通;全屋定制;融资融券;转融券标的;白马股;MSCI预期,wr超卖,缩量||价跌量缩||月线长下影线,2928
603317.SH,天味食品,23.45,23.45,23.45,23.45,33884.0,9.99,--,--,--,--,--,0.66,--,--,--,0.0,0.0,0.0,968954000.0,食品饮料-食品加工制造-调味发酵品,新股与次新股,skdj超卖||kdj超卖||周线kdj超卖,价升量涨||阶段放量||跳空高开,2
000062.SZ,深圳华强,23.43,23.26,23.59,23.15,2313100.0,-0.94,23.37,23.54,22.82,22.23,20.40,-0.18,24.60,22.82,21.05,35.7,47.64,11.82,16757547000.0,电子-其他电子-其他电子Ⅲ,互联网金融;P2P概念;电子信息;元器件;余额宝;融资融券;深股通;转融券标的;电子商务;汽车电子;存储芯片;互联网+;雄安新区;创投;粤港澳大湾区;年报预增;机构重仓,月线cr金叉||月线dmi金叉,缩量||价跌量缩||回调缩量,8113
603199.SH,九华旅游,23.4,22.99,23.45,22.88,942978.0,-1.46,22.88,23.01,22.78,22.32,20.74,-0.2,23.75,22.78,21.82,58.73,58.34,59.51,2544533200.0,餐饮旅游-景点及旅游-自然景点,电子商务;在线旅游;地方国资改革;安徽国资改革,月线macd金叉,缩量||价跌量缩||回调缩量,1484
002868.SZ,绿康生化,23.37,24.04,24.22,22.65,10440011.0,2.82,21.77,20.95,20.26,19.95,18.19,0.64,22.86,20.26,17.65,87.41,78.88,104.46,924578400.0,农林牧渔-农业服务-动物保健,兽药;郭台铭概念,月线cci买入信号||周线boll突破上轨||周线mtm金叉,价升量涨||放量||强中选强,715
600262.SH,北方股份,23.32,23.04,23.38,22.8,3028862.0,0.17,23.01,22.94,22.56,21.70,20.03,-0.17,23.74,22.56,21.37,48.96,55.98,34.92,3916800000.0,机械设备-专用设备-冶金矿采化工设备,航天军工;股权转让;挖掘机;无人驾驶;中兵系;央企国资改革;年报预增,rsi金叉,价升量涨||放量||上升通道,6866
600648.SH,外高桥,23.3,23.17,23.43,22.91,20895991.0,-2.2,23.82,24.40,21.72,20.11,17.31,-0.18,28.08,21.72,15.36,31.33,48.71,-3.41,21659122000.0,房地产-园区开发-园区开发Ⅲ,自由贸易港;B转H;浦东新区;工业用地;浦东前滩;融资融券;跨境电商;沪股通;转融券标的;地方国资改革;上海自贸区;上海国资改革;MSCI预期;创投;外资券商影子股,wr超卖||月线boll突破上轨||月线cci买入信号,缩量||价跌量缩||回调缩量,9480
603129.SH,春风动力,23.23,22.91,23.38,22.75,863521.0,-1.34,23.03,23.09,23.11,22.42,20.40,-0.34,24.44,23.11,21.78,46.05,46.96,44.22,1585833500.0,交运设备-非汽车交运-其他交运设备,体育产业;军工,月线boll突破中轨||月线roc买入信号||月线dmi金叉,缩量||价跌量缩||回调缩量,608
603363.SH,傲农生物,23.23,23.75,24.66,22.51,27414567.0,5.93,21.38,19.76,17.03,16.16,12.90,1.12,23.70,17.03,10.36,89.27,86.87,94.07,4369832400.0,农林牧渔-农产品加工-饲料Ⅲ,兽药;贸易战受益股;沪股通;猪肉;饲料;郭台铭概念,boll突破上轨||cr金叉||月线macd金叉,价升量涨||放量||强中选强,569
300438.SZ,鹏辉能源,23.2,22.27,23.27,22.17,4916923.0,-3.3,22.57,22.84,23.77,24.20,21.55,-0.67,25.93,23.77,21.62,22.51,22.88,21.78,4726626600.0,电子-其他电子-其他电子Ⅲ,镍氢电池;锂电制造;白马股;新能源汽车;锂电池;独角兽概念;储能,wr超卖,缩量||价跌量缩||回调缩量,1455
601012.SH,隆基股份,23.15,24.32,24.89,23.05,50977014.0,3.93,22.91,22.23,21.95,21.92,20.41,0.37,23.96,21.95,19.93,78.19,69.22,96.11,67651842000.0,机械设备-电气设备-电源设备,新能源;超硬材料;两会;分布式发电;扶贫开发;融资融券;沪股通;转融券标的;MSCI概念;多晶硅;光伏概念;太阳能;白马股,boll突破上轨||dma金叉||月线cci买入信号,价升量涨||放量||阳线,2563
002621.SZ,美吉姆,23.09,22.71,23.2,22.61,1552080.0,-0.35,22.65,23.37,23.61,23.44,22.44,-0.51,24.95,23.61,22.27,27.92,32.85,18.07,7251104200.0,信息服务-传媒-其他传媒,工业4.0;大连自贸区;东北亚经贸中心;地下管网;水利;幼儿教育;PVC;高送转,行情收盘价上穿5日,缩量||价跌量缩||月线长下影线,2758
300379.SZ,东方通,23.03,22.87,23.3,22.76,4062951.0,-1.3,23.14,23.61,24.04,24.29,20.84,-0.71,25.86,24.04,22.22,17.94,26.17,1.49,4562529700.0,信息服务-计算机应用-软件开发及服务,透明计算;机器学习;人工智能;电子政务;云计算;大数据;军工;国产软件;网络安全;5G;华为概念,wr超卖,缩量||价跌量缩||回调缩量,1906
002142.SZ,宁波银行,23.0,23.12,23.43,22.96,17179361.0,0.04,23.20,23.26,22.16,21.36,19.69,-0.07,24.86,22.16,19.47,40.84,54.56,13.4,107065193000.0,金融服务-银行-银行Ⅲ,MSCI概念;融资融券;深股通;转融券标的;优先股概念,wr超卖,价升量缩||缩量||阳线,4291
300612.SZ,宣亚国际,23.0,22.49,23.0,22.33,1885949.0,-1.83,23.22,23.78,24.63,24.77,21.17,-1.03,27.63,24.63,21.62,14.56,18.01,7.67,1019639140.0,信息服务-传媒-营销服务,广告营销;文化传媒;区块链储备;数字营销;短视频;区块链,wr超卖||bias买入信号||kdj低位钝化,缩量||价跌量缩||回调缩量,792
300652.SZ,雷迪克,23.0,22.89,23.17,22.66,889200.0,-0.09,22.90,22.93,22.74,22.94,21.99,-0.06,23.73,22.74,21.75,55.65,59.03,48.9,675763570.0,交运设备-汽车零部件-汽车零部件Ⅲ,--,月线dmi金叉,缩量||价跌量缩||回调缩量,702
002886.SZ,沃特股份,22.93,22.79,23.28,22.75,2584090.0,-1.13,22.69,22.55,22.17,21.39,19.16,-0.2,24.58,22.17,19.75,62.29,55.21,76.44,1130589410.0,化工-化工合成材料-改性塑料,5G主设备;碳纳米管;5G;新能源汽车;石墨烯;国资驰援;柔性屏,月线macd金叉,缩量||价跌量缩||月线长下影线,660
002739.SZ,万达电影,22.91,24.0,24.17,22.87,50588113.0,4.67,23.00,22.72,22.36,22.64,22.06,0.3,23.84,22.36,20.87,78.29,70.34,94.2,42274579000.0,信息服务-传媒-影视动漫,IP概念;腾讯概念;移动互联网;深股通;大消费;文化传媒;阿里巴巴概念;影视娱乐;融资融券;转融券标的,boll突破上轨||月线bias买入信号||周线行情收盘价上穿5日,价升量涨||放量||阳线,1547
300385.SZ,雪浪环境,22.88,23.52,23.6,22.78,1266150.0,3.39,22.74,22.23,20.66,19.87,17.21,0.29,24.24,20.66,17.07,81.16,78.04,87.4,1362288700.0,机械设备-专用设备-环保设备,废气处理;危废处理;脱硫脱硝;村镇银行;固废处理;节能环保;证金持股;高送转,cci买入信号||skdj金叉||kdj金叉,价升量涨||放量||阳线,1757
002174.SZ,游族网络,22.85,23.34,23.64,22.69,12271102.0,1.66,23.03,23.20,23.27,23.37,21.15,-0.39,24.99,23.27,21.56,44.75,37.68,58.88,14990387000.0,信息服务-传媒-其他传媒,参股新三板;大数据;网络游戏;深股通;电子竞技;谷歌概念;Facebook概念;股权转让;手机游戏;动漫;MSCI预期;科创板IPO,kdj金叉||rsi金叉||boll突破中轨,价升量涨||缩量||阳线,4223
002860.SZ,星帅尔,22.83,22.75,23.06,22.54,2268546.0,0.18,22.55,22.58,22.28,22.11,21.16,-0.03,23.58,22.28,20.97,53.03,51.82,55.45,1075918550.0,家用电器-白色家电-其他白色家电,新能源汽车;家用电器,月线vr买入信号||周线行情收盘价上穿5日||周线rsi金叉,价升量缩||缩量||阴线,736
002870.SZ,香山股份,22.82,22.79,23.18,22.7,1547157.0,-1.77,22.81,23.12,23.47,23.90,22.07,-0.31,24.56,23.47,22.37,36.69,33.0,44.09,914334800.0,机械设备-仪器仪表-仪器仪表,健康中国;传感器;智能穿戴;智能手表;物联网应用层;物联网感知层;物联网;OLED设备制造;医疗器械概念;OLED;互联网医疗,周线cr金叉||月线roc买入信号,缩量||价跌量缩||月线长下影线,703
600783.SH,鲁信创投,22.8,22.57,22.85,22.29,15505090.0,-1.48,22.58,22.60,23.52,23.70,21.46,-0.39,26.84,23.52,20.20,44.08,35.36,61.53,16800189000.0,金融服务-保险及其他-多元金融,军民融合;金属镁;OGS触控屏;参股新三板;融资融券;新兴板概念;转融券标的;国改双百行动;地方国资改革;山东国资改革;创投;年报预增,rsi金叉||dmi金叉,缩量||价跌量缩||月线长下影线,8149
300144.SZ,宋城演艺,22.77,22.87,22.88,22.37,7704972.0,0.26,22.70,22.99,23.06,22.70,21.64,-0.26,24.12,23.06,21.99,28.17,30.81,22.89,27059714000.0,餐饮旅游-景点及旅游-人工景点,网络视频;音乐产业;虚拟现实;电子竞技;文化传媒;深股通;VR平台;白马股;海南自贸区;手机游戏;网络直播;动漫;MSCI预期;养老金持股;融资融券;转融券标的,周线rsi金叉||月线kdj金叉,价升量缩||缩量||阳线,3052
002557.SZ,洽洽食品,22.76,23.45,23.61,22.56,11615309.0,2.81,22.77,23.13,24.29,24.13,22.52,-0.63,27.03,24.29,21.54,28.77,21.88,42.55,11889150000.0,食品饮料-食品加工制造-食品综合,牛羊肉;乳业;融资融券;休闲零食;深股通;转融券标的;电子商务;机构重仓,mtm金叉||kdj金叉||rsi金叉,价升量涨||放量||阳线,2969
002887.SZ,绿茵生态,22.75,22.39,22.89,22.39,1068600.0,-2.01,22.49,22.84,23.19,22.91,21.12,-0.51,24.61,23.19,21.76,24.23,25.06,22.58,1149482450.0,公用事业-环保工程-环保工程及服务,土壤修复;雄安新区;雄安环保;园林开发,wr超卖||周线rsi金叉,缩量||价跌量缩||回调缩量,625
300698.SZ,万马科技,22.75,24.23,24.23,22.75,23619462.0,9.99,20.40,19.19,18.46,18.31,17.27,1.12,22.03,18.46,14.89,88.63,76.88,112.13,1101287420.0,信息设备-通信设备-通信传输设备,智能医疗;物联网应用层;光通信设备;物联网;互联网医疗;5G,月线rsi金叉||周线roc买入信号||周线boll突破上轨,价升量涨||放量||强中选强,595
603080.SH,新疆火炬,22.73,22.27,22.84,22.19,2950048.0,-2.79,22.38,22.70,22.83,22.61,21.08,-0.29,24.23,22.83,21.43,34.66,39.3,25.37,1942723500.0,公用事业-燃气水务-燃气Ⅲ,沪股通;天然气;天然气管道,月线bias买入信号||月线cr金叉||月线kdj超卖,缩量||价跌量缩||回调缩量,470
001979.SZ,招商蛇口,22.72,22.75,22.82,22.58,16239008.0,0.0,22.80,23.17,22.94,22.46,21.17,-0.31,24.12,22.94,21.77,21.57,31.64,1.44,54653108000.0,房地产-房地产开发-房地产开发Ⅲ,游轮;MSCI概念;招商系;融资融券;租售同权;深股通;海峡西岸;转融券标的;雄安新区;粤港澳大湾区;央企国资改革;宝能系;安邦系,wr超卖||月线cci买入信号,缩量||阳线||小阳星,1205
300632.SZ,光莆股份,22.7,22.18,24.02,22.11,8987157.0,0.23,21.59,20.34,19.58,19.36,18.14,0.63,22.29,19.58,16.87,75.74,74.72,77.78,1071465190.0,电子-光学光电子-LED,节能照明;富士康概念;白马股;年报预增,月线boll突破上轨||月线vr买入信号||周线mtm金叉,价升量涨||放量||强中选强,742
002800.SZ,天顺股份,22.66,23.6,23.6,22.38,2621970.0,3.42,22.88,23.06,22.04,21.52,19.52,-0.03,24.54,22.04,19.53,35.1,41.19,22.93,866474000.0,交通运输-物流-物流Ⅲ,物流骨干网;一带一路,rsi金叉||月线macd金叉||月线dmi金叉,价升量涨||放量||阳线,1053
603959.SH,百利科技,22.66,23.71,24.48,22.59,8595053.0,4.04,21.76,21.50,20.15,19.98,18.88,0.64,23.52,20.15,16.77,71.65,68.24,78.46,3531841600.0,建筑材料-建筑装饰-专业工程,橡胶;沪股通;锂电设备;锂电池;宁德时代概念;新能源汽车;煤化工,cci买入信号||skdj金叉||boll突破上轨,放量||价升量缩||强中选强,1066
300349.SZ,金卡智能,22.65,22.17,22.83,21.98,5441799.0,-2.12,22.50,22.18,21.69,21.75,20.55,0.06,23.31,21.69,20.06,55.48,57.93,50.59,7807997700.0,机械设备-仪器仪表-仪器仪表,天然气管道;仪电仪表;智能表;物联网;白马股;物联网应用层;深股通;华为概念;新基建,月线dmi金叉,缩量||回调缩量||阴线,2435
300600.SZ,瑞特股份,22.6,24.6,24.97,22.51,5649345.0,8.37,22.93,23.46,24.25,24.67,23.50,-0.33,27.18,24.25,21.31,34.64,25.27,53.38,1624584000.0,国防军工-国防军工-船舶制造,军民融合;国产航母;成泉资本持股;军工,kdj金叉||cr金叉||rsi金叉,价升量涨||放量||阳线,813
300623.SZ,捷捷微电,22.56,22.13,22.68,22.0,2939523.0,-2.08,22.38,22.86,23.23,23.45,20.71,-0.63,24.84,23.23,21.63,30.25,32.69,25.35,2336289000.0,电子-半导体及元件-分立器件,芯片概念;汽车电子;充电桩;芯片制造;芯片设计;送转填权,kdj金叉,缩量||价跌量缩||月线长下影线,765
000048.SZ,*ST康达,22.53,22.99,23.82,22.53,1146173.0,1.32,22.93,22.36,21.33,20.86,19.83,0.33,23.95,21.33,18.71,59.77,65.18,48.97,8819436200.0,农林牧渔-农产品加工-饲料Ⅲ,土地增值;ST板块;猪肉;土地流转;机构重仓,行情收盘价上穿5日||月线cr金叉||月线boll突破中轨,价升量涨||放量||阳线,8934
002908.SZ,德生科技,22.53,22.29,22.53,22.09,2443100.0,-0.67,22.20,22.51,22.53,21.87,20.08,-0.4,24.53,22.53,20.52,25.27,30.07,15.66,1695832400.0,信息设备-通信设备-终端设备,电子信息;金融IC;数字中国;大数据,skdj金叉||月线bias买入信号||月线cr金叉,缩量||价跌量缩||回调缩量,545
603089.SH,正裕工业,22.51,24.67,24.96,22.35,4596617.0,8.73,22.70,22.05,21.42,20.96,19.47,0.4,23.42,21.42,19.42,78.46,68.55,98.29,775991890.0,交运设备-汽车零部件-汽车零部件Ⅲ,人民币贬值受益,月线macd金叉||月线cci买入信号||月线boll突破中轨,价升量涨||放量||阳线,812
600389.SH,江山股份,22.5,22.72,23.12,22.2,7103932.0,-0.31,22.67,23.23,20.88,20.12,18.67,0.18,26.13,20.88,15.64,36.55,51.63,6.41,6747840000.0,化工-化学制品-农药,百草枯;金改;登革热;大上海;融资融券;乡村振兴;转融券标的;草甘膦;股权转让;烧碱,行情收盘价上穿5日||月线macd金叉||月线rsi金叉,缩量||阳线||价跌量缩,6672
603538.SH,美诺华,22.49,22.86,23.19,22.42,4560906.0,1.15,22.57,22.31,21.15,20.88,20.20,0.35,23.87,21.15,18.43,54.34,58.34,46.32,2045055600.0,医药生物-化学制药-化学原料药,人民币贬值受益;年报预增,rsi金叉||月线cci买入信号||周线boll突破上轨,价升量缩||缩量||阳线,741
002749.SZ,国光股份,22.48,22.04,22.69,21.9,1741462.0,-1.17,22.55,23.55,23.63,23.19,21.11,-0.84,25.88,23.63,21.38,12.58,24.03,-10.33,3081002400.0,化工-化学制品-农药,生物农药,wr超卖||bias买入信号||skdj超卖,缩量||回调缩量||阴线,1490
300416.SZ,苏试试验,22.43,21.99,22.65,21.89,3254763.0,-1.87,22.33,23.62,22.56,21.95,20.59,-0.46,26.15,22.56,18.96,17.85,31.27,-8.99,1684324100.0,机械设备-仪器仪表-仪器仪表,--,wr超卖||月线macd金叉||月线dmi金叉,缩量||回调缩量||阴线,1547
300507.SZ,苏奥传感,22.43,21.9,22.54,21.88,1171800.0,-2.1,22.20,22.41,22.25,21.59,19.74,-0.42,24.40,22.25,20.10,25.42,27.65,20.96,1284315750.0,交运设备-汽车零部件-汽车零部件Ⅲ,传感器;高送转,wr超卖||月线dmi金叉,缩量||价跌量缩||回调缩量,1084
603578.SH,三星新材,22.43,22.1,22.43,22.06,471500.0,-1.25,22.19,22.44,22.53,22.49,21.18,-0.25,24.02,22.53,21.05,38.87,43.6,29.42,704990000.0,家用电器-白色家电-其他白色家电,--,skdj金叉||skdj底背离,缩量||价跌量缩||回调缩量,773
603729.SH,龙韵股份,22.41,22.19,23.14,22.06,5401760.0,0.41,22.12,22.20,22.41,23.26,19.30,-0.48,23.86,22.41,20.96,44.68,44.41,45.22,2071170200.0,信息服务-传媒-营销服务,广告营销;文化传媒;互联网彩票,kdj金叉||dmi金叉||月线kdj超卖,价升量涨||放量||月线长下影线,1486
002853.SZ,皮阿诺,22.4,22.11,22.46,22.11,946750.0,-1.03,22.16,22.48,22.05,21.34,19.74,-0.34,24.51,22.05,19.58,35.26,38.43,28.93,1129785310.0,轻工制造-家用轻工-家具,--,kdj金叉,缩量||价跌量缩||回调缩量,769
